id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTE5MA==,1190,bubba-mcdaniel-1190,Bubba McDaniel,The Menace,1983-05-03,190.5,75.0,,,,United States
RmlnaHRlck5vZGU6MTE5MDc=,11907,kastriot-xhema-11907,Kastriot Xhema,Slaughterhouse,1992-01-22,183.0,68.5,,,,United States
RmlnaHRlck5vZGU6MTE5MTA=,11910,kevin-ferguson-jr-11910,Kevin Ferguson Jr.,Baby Slice,1992-01-01,180.0,71.5,,,,United States
RmlnaHRlck5vZGU6MTE5MzE=,11931,sterling-lenz-11931,Sterling Lenz,,1986-06-03,168.0,,,,,United States
RmlnaHRlck5vZGU6MTE5NTg=,11958,peter-barrett-11958,Peter Barrett,Slippery Pete,1986-08-10,175.3,73.0,,,Southpaw,United States
RmlnaHRlck5vZGU6MTEwMDU=,11005,josenaldo-silva-11005,Josenaldo Silva,Naldo,1986-08-26,172.7,,,,,Brazil
RmlnaHRlck5vZGU6MTEwMzg=,11038,david-mundell-11038,David Mundell,Redneck,1991-08-01,175.3,75.0,,,,United States
RmlnaHRlck5vZGU6MTEyMA==,1120,john-howard-1120,John Howard,Doomsday,1983-03-01,170.0,72.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTEzMQ==,1131,lavar-johnson-1131,Lavar Johnson,Big,1977-03-09,193.0,81.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTI0OA==,1248,dustin-pague-1248,Dustin Pague,The Disciple,1987-08-05,176.0,74.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTI2MA==,1260,robbie-peralta-1260,Robbie Peralta,Problems,1986-01-01,172.7,71.0,,,,United States
RmlnaHRlck5vZGU6MTI4MDk=,12809,eddie-hoch-12809,Eddie Hoch,,,172.0,,,,,"
United States
"
RmlnaHRlck5vZGU6MTI5MA==,1290,luke-rockhold-1290,Luke Rockhold,,1984-10-17,191.0,77.0,,Well Rounded,Orthodox,United States
RmlnaHRlck5vZGU6MTI5MjU=,12925,angela-danzig-12925,Angela Danzig,Momma,1978-06-08,160.0,,,,,United States
RmlnaHRlck5vZGU6MTI5NA==,1294,yoel-romero-1294,Yoel Romero,Soldier of God,1977-04-30,178.0,73.0,42.0,Striker / Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTIwNQ==,1205,chad-mendes-1205,Chad Mendes,Money,1985-05-01,168.0,66.0,,Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTIyMjU=,12225,micah-terrill-12225,Micah Terrill,See Me,1984-01-20,182.9,74.5,,,,United States
RmlnaHRlck5vZGU6MTIyMzg=,12238,haim-gozali-12238,Haim Gozali,,1973-05-06,188.0,72.0,,,,Israel
RmlnaHRlck5vZGU6MTIyOTA=,12290,josh-griggs-12290,Josh Griggs,,,180.3,,,,,"
United States
"
RmlnaHRlck5vZGU6MTIzNDE=,12341,travis-lerchen-12341,Travis Lerchen,The Villain,,188.0,,,,,United States
RmlnaHRlck5vZGU6MTM0MjE=,13421,jacob-akin-13421,Jacob Akin,The Rosedale Strangler,1985-06-02,170.2,,,,,United States
RmlnaHRlck5vZGU6MTM0ODc=,13487,kendrick-latchman-13487,Kendrick Latchman,The Uprising,1993-06-14,170.2,70.5,,,,United States
RmlnaHRlck5vZGU6MTM0OTY=,13496,fred-pierce-13496,Fred Pierce,,,183.0,,,,,United States
RmlnaHRlck5vZGU6MTM1NzE=,13571,eric-thompson-13571,Eric Thompson,The Genetic Freak,1985-10-07,170.2,,,,,United States
RmlnaHRlck5vZGU6MTM3Nw==,1377,isaac-vallie-flagg-1377,Isaac Vallie-Flagg,,1978-04-08,177.8,70.0,,Striker / Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTM4,138,alonzo-martinez-138,Alonzo Martinez,Zo Diddy,1984-04-22,178.0,69.0,,,,United States
RmlnaHRlck5vZGU6MTM4MDU=,13805,brian-maronek-13805,Brian Maronek,Quicksand,,188.0,,,,,United States
