id,pk,slug,event_id,fighter_1_id,fighter_2_id,winner_id,bout_type,weight_class,weight_lbs,outcome_method,outcome_method_details,end_round,end_round_time,fighter_1_odds,fighter_2_odds,is_cancelled
RmlnaHROb2RlOjMyMjg2,32286,rusty-crowder-vs-dillard-pegg-32286,RXZlbnROb2RlOjMxODM=,RmlnaHRlck5vZGU6NzQwNQ==,RmlnaHRlck5vZGU6MTg5,RmlnaHRlck5vZGU6NzQwNQ==,MC,Lightweight,154.0,KO/TKO,,2.0,0:33,,,0
RmlnaHROb2RlOjMyMjg1,32285,johnny-bedford-vs-matt-murphy-32285,RXZlbnROb2RlOjMxODM=,RmlnaHRlck5vZGU6OTYy,RmlnaHRlck5vZGU6ODgyMQ==,RmlnaHRlck5vZGU6OTYy,MC,Bantamweight,135.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjY3MTMx,67131,arnold-adams-vs-sam-shewmaker-67131,RXZlbnROb2RlOjMxODM=,RmlnaHRlck5vZGU6MTM4NDU=,RmlnaHRlck5vZGU6MzUxODI=,RmlnaHRlck5vZGU6MTM4NDU=,ME,,,Decision,Split,5.0,5:00,,,0
RmlnaHROb2RlOjY3MTMz,67133,christine-ferea-vs-jennifer-tate-67133,RXZlbnROb2RlOjMxODM=,RmlnaHRlck5vZGU6MTQzMzI=,RmlnaHRlck5vZGU6MjgwMTk=,RmlnaHRlck5vZGU6MTQzMzI=,MC,Bantamweight,135.0,KO/TKO,,1.0,1:55,,,0
RmlnaHROb2RlOjY3MTMy,67132,marcel-stamps-vs-kendall-grove-67132,RXZlbnROb2RlOjMxODM=,RmlnaHRlck5vZGU6MjI3NTc=,RmlnaHRlck5vZGU6Njc0,RmlnaHRlck5vZGU6MjI3NTc=,CO,Catchweight,200.0,KO/TKO,,3.0,0:47,,,0
RmlnaHROb2RlOjMyMjg5,32289,elvin-brito-vs-harris-stephenson-32289,RXZlbnROb2RlOjMxODM=,RmlnaHRlck5vZGU6MzQ2Nw==,RmlnaHRlck5vZGU6MTk4MTk=,RmlnaHRlck5vZGU6MzQ2Nw==,MC,Welterweight,168.0,KO/TKO,,5.0,0:06,,,0
RmlnaHROb2RlOjMyMjg4,32288,abdiel-velazquez-vs-shawn-west-32288,RXZlbnROb2RlOjMxODM=,RmlnaHRlck5vZGU6OTExNQ==,RmlnaHRlck5vZGU6ODY5NQ==,RmlnaHRlck5vZGU6OTExNQ==,MC,Lightweight,154.0,KO/TKO,,1.0,1:16,,,0
RmlnaHROb2RlOjczOTE0,73914,alejandro-solorzano-vs-erik-leander-73914,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6MzA1NzM=,RmlnaHRlck5vZGU6MzUxOTM=,RmlnaHRlck5vZGU6MzA1NzM=,MC,,,KO/TKO,Doctor Stoppage (Cut),4.0,0:29,,,0
RmlnaHROb2RlOjczOTE3,73917,jose-ruelas-soto-vs-gilberto-aguilar-73917,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6MzUxOTg=,RmlnaHRlck5vZGU6MTA3NTY=,RmlnaHRlck5vZGU6MzUxOTg=,PL,,,Decision,,5.0,5:00,,,0
RmlnaHROb2RlOjMyMjky,32292,chris-lytle-vs-jc-llamas-32292,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6MzYw,RmlnaHRlck5vZGU6MTU3MTQ=,RmlnaHRlck5vZGU6MzYw,MC,Welterweight,170.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjczOTE4,73918,shannon-ritch-vs-omar-molina-73918,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6MjM0Mg==,RmlnaHRlck5vZGU6MzUxOTk=,RmlnaHRlck5vZGU6MjM0Mg==,PL,,,KO/TKO,,1.0,0:26,,,0
RmlnaHROb2RlOjMyMjkz,32293,joe-riggs-vs-heriberto-tovar-32293,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6ODI2,RmlnaHRlck5vZGU6MzMyMDk=,RmlnaHRlck5vZGU6ODI2,MC,Middleweight,185.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjczOTEz,73913,sam-shewmaker-vs-joel-parades-73913,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6MzUxODI=,RmlnaHRlck5vZGU6MzUxOTI=,RmlnaHRlck5vZGU6MzUxODI=,MC,,,Decision,Split,5.0,5:00,,,0
RmlnaHROb2RlOjMyMjkx,32291,joey-beltran-vs-tony-lopez-32291,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6OTYz,RmlnaHRlck5vZGU6MjE0OA==,RmlnaHRlck5vZGU6OTYz,MC,,,Ends in a Draw,Split,5.0,5:00,,,0
RmlnaHROb2RlOjMyMjkw,32290,leonard-garcia-vs-julian-lane-32290,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6NjYx,RmlnaHRlck5vZGU6MTgzNQ==,RmlnaHRlck5vZGU6NjYx,ME,Welterweight,168.0,KO/TKO,,2.0,1:31,,,0
RmlnaHROb2RlOjMyMjk0,32294,tom-shoaff-vs-diego-garijo-32294,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6MTYyMjM=,RmlnaHRlck5vZGU6MTYyNQ==,RmlnaHRlck5vZGU6MTYyMjM=,MC,Lightweight,155.0,KO/TKO,Doctor Stoppage (Cut),4.0,1:26,,,0
RmlnaHROb2RlOjczMTUy,73152,bec-rawlings-vs-cecilia-ulloa-73152,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6NjE0MQ==,RmlnaHRlck5vZGU6MzUxOTE=,RmlnaHRlck5vZGU6NjE0MQ==,CO,,122.0,Decision,Unanimous,5.0,5:00,,,0
