id,bout_id,sportsbook_id,outcome_1_id,fighter_1_odds_open,fighter_1_odds_worst,fighter_1_odds_current,fighter_1_odds_best,outcome_2_id,fighter_2_odds_open,fighter_2_odds_worst,fighter_2_odds_current,fighter_2_odds_best
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA2NDA3OTM=,RmlnaHROb2RlOjM2MTI0,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTMyMDkxMA==,-300.0,-300.0,-270.0,-255.0,T3V0Y29tZU5vZGU6MTMyMDkxMQ==,250.0,215.0,230.0,250.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA2NDA3OTI=,RmlnaHROb2RlOjM1ODUx,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTMyMDkwOA==,-210.0,-210.0,130.0,130.0,T3V0Y29tZU5vZGU6MTMyMDkwOQ==,180.0,-150.0,-150.0,180.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5NDI4NzQ=,RmlnaHROb2RlOjM2NjQy,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MTkxNzIyNw==,140.0,110.0,110.0,140.0,T3V0Y29tZU5vZGU6MTkxNzIyOA==,-200.0,-200.0,-154.0,-154.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5MjIyMDk=,RmlnaHROb2RlOjM2NjQy,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MTg3Njg5NQ==,120.0,120.0,160.0,160.0,T3V0Y29tZU5vZGU6MTg3Njg5Ng==,-150.0,-200.0,-200.0,-150.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA4OTEyODY=,RmlnaHROb2RlOjM2NjQy,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTgxNTk0OQ==,120.0,110.0,155.0,160.0,T3V0Y29tZU5vZGU6MTgxNTk1MA==,-150.0,-200.0,-185.0,-140.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5NDI4NzE=,RmlnaHROb2RlOjM2NjM3,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MTkxNzIyMQ==,-143.0,-167.0,-167.0,-143.0,T3V0Y29tZU5vZGU6MTkxNzIyMg==,105.0,105.0,120.0,120.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA4OTEyODk=,RmlnaHROb2RlOjM2NjM3,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTgxNTk1Ng==,-140.0,-150.0,-150.0,-135.0,T3V0Y29tZU5vZGU6MTgxNTk1NQ==,110.0,105.0,120.0,120.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5NDI5NDA=,RmlnaHROb2RlOjM2NjM3,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MTkxNzM2MA==,-140.0,-140.0,-140.0,-140.0,T3V0Y29tZU5vZGU6MTkxNzM1OQ==,110.0,110.0,110.0,110.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5NDI4NzI=,RmlnaHROb2RlOjM2NjQx,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MTkxNzIyMw==,-250.0,-250.0,-250.0,-250.0,T3V0Y29tZU5vZGU6MTkxNzIyNA==,175.0,175.0,175.0,175.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA4OTEyODc=,RmlnaHROb2RlOjM2NjQx,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTgxNTk1Mg==,-225.0,-500.0,-500.0,-225.0,T3V0Y29tZU5vZGU6MTgxNTk1MQ==,185.0,185.0,375.0,375.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5MTU5ODY=,RmlnaHROb2RlOjM2MTY5,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MTg2NDg3NA==,-250.0,-250.0,-250.0,-250.0,T3V0Y29tZU5vZGU6MTg2NDg3NQ==,175.0,155.0,155.0,300.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA4OTEyODU=,RmlnaHROb2RlOjM2MTY5,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTgxNTk0OA==,-160.0,-600.0,-460.0,-160.0,T3V0Y29tZU5vZGU6MTgxNTk0Nw==,130.0,130.0,360.0,425.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5MjIyMDg=,RmlnaHROb2RlOjM2MTY5,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MTg3Njg5NA==,-200.0,-300.0,-300.0,-200.0,T3V0Y29tZU5vZGU6MTg3Njg5Mw==,160.0,160.0,220.0,220.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAyNzQ=,RmlnaHROb2RlOjM2OTgz,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTY0Ng==,-250.0,-286.0,-286.0,-250.0,T3V0Y29tZU5vZGU6MjAwNTY0OA==,175.0,175.0,195.0,195.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA5MDI=,RmlnaHROb2RlOjM2OTg0,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODUzNQ==,-180.0,-205.0,-205.0,-165.0,T3V0Y29tZU5vZGU6MTk4ODUzNA==,150.0,135.0,165.0,165.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODk5ODQ=,RmlnaHROb2RlOjM2OTg0,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTI5Mw==,-188.0,-188.0,-188.0,-188.0,T3V0Y29tZU5vZGU6MjAwNTI5NA==,138.0,138.0,138.0,138.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA4OTk=,RmlnaHROb2RlOjYzMjU1,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODUyOQ==,-185.0,-280.0,-275.0,-165.0,T3V0Y29tZU5vZGU6MTk4ODUyOA==,155.0,135.0,215.0,220.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAzODI=,RmlnaHROb2RlOjYzMjU1,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjAwNTg0Nw==,-200.0,-200.0,-200.0,-200.0,T3V0Y29tZU5vZGU6MjAwNTg0Ng==,160.0,160.0,160.0,160.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA4OTg=,RmlnaHROb2RlOjYzMjU0,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODUyNg==,100.0,100.0,160.0,160.0,T3V0Y29tZU5vZGU6MTk4ODUyNw==,-130.0,-200.0,-200.0,-130.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAzODM=,RmlnaHROb2RlOjYzMjU0,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjAwNTg0OA==,140.0,140.0,140.0,140.0,T3V0Y29tZU5vZGU6MjAwNTg0OQ==,-170.0,-170.0,-170.0,-170.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAxNDE=,RmlnaHROb2RlOjYzMjU0,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTQ5NA==,-105.0,-105.0,120.0,120.0,T3V0Y29tZU5vZGU6MjAwNTQ5NQ==,-133.0,-163.0,-163.0,-133.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAxNDI=,RmlnaHROb2RlOjM2ODcw,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTQ5Ng==,120.0,120.0,210.0,210.0,T3V0Y29tZU5vZGU6MjAwNTQ5Nw==,-163.0,-300.0,-300.0,-163.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAzODU=,RmlnaHROb2RlOjM2ODcw,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjAwNTg1Mw==,190.0,190.0,190.0,190.0,T3V0Y29tZU5vZGU6MjAwNTg1Mg==,-240.0,-240.0,-240.0,-240.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA4OTY=,RmlnaHROb2RlOjM2ODcw,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODUyMw==,-170.0,-170.0,240.0,275.0,T3V0Y29tZU5vZGU6MTk4ODUyMg==,140.0,-350.0,-300.0,140.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAxNDU=,RmlnaHROb2RlOjM3MDI5,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTUwMg==,-500.0,-699.0,-699.0,-500.0,T3V0Y29tZU5vZGU6MjAwNTUwMw==,300.0,300.0,400.0,400.0
