id,pk,slug,name,date,location,venue,event_order
RXZlbnROb2RlOjY1MDQ=,6504,bkfc-79-rothwell-vs-simon-cancelled,BKFC 79: Rothwell vs. Simon (Cancelled),2025-07-15,,,127
RXZlbnROb2RlOjY1NzM=,6573,bkfc-fight-night-philly,BKFC Fight Night: Philly,2025-07-25,,,128
RXZlbnROb2RlOjY1NzI=,6572,bkfc-79-gogo-vs-lane,BKFC 79: Gogo vs. Lane,2025-08-02,,,129
RXZlbnROb2RlOjY1ODU=,6585,bkfc-fight-night-edmonton,BKFC Fight Night: Edmonton,2025-08-09,,,130
RXZlbnROb2RlOjY2MzQ=,6634,bkfc-fight-night-budva,BKFC Fight Night: Budva,2025-08-30,,,131
RXZlbnROb2RlOjY2MTQ=,6614,bkfc-80-perdomo-vs-adams-2,BKFC 80: Perdomo vs. Adams 2,2025-09-12,,,132
RXZlbnROb2RlOjY2MzM=,6633,bkfc-81-degale-vs-floyd,BKFC 81: DeGale vs. Floyd,2025-09-27,,,133
RXZlbnROb2RlOjY2MzI=,6632,bkfc-82-perry-vs-stephens,BKFC 82: Perry vs. Stephens,2025-10-04,,,134
RXZlbnROb2RlOjY2NDk=,6649,bkfc-fight-night-hammond,BKFC Fight Night: Hammond,2025-10-18,,,135
RXZlbnROb2RlOjY2MzE=,6631,bkfc-83-camozzi-vs-sakara,BKFC 83: Camozzi vs. Sakara,2025-10-25,,,136
RXZlbnROb2RlOjg2MzE=,8631,bkfc-fight-night-michigan,BKFC Fight Night: Michigan,2025-11-01,,,137
RXZlbnROb2RlOjg1OTQ=,8594,bkfc-fight-night-burgas-cancelled,BKFC Fight Night: Burgas (Cancelled),2025-11-08,,,138
RXZlbnROb2RlOjg3MTQ=,8714,bkfc-84-dyer-vs-hunt-2,BKFC 84: Dyer vs. Hunt 2,2025-11-15,,,139
RXZlbnROb2RlOjg3MjY=,8726,bkfc-85-trout-vs-palomino,BKFC 85: Trout vs. Palomino,2025-12-05,,,140
RXZlbnROb2RlOjg3ODE=,8781,bkfc-fight-night-derby,BKFC Fight Night: Derby,2025-12-13,,,141
RXZlbnROb2RlOjg3NTU=,8755,bkfc-fight-night-mohegan-sun,BKFC Fight Night: Mohegan Sun,2025-12-20,,,142
RXZlbnROb2RlOjg4MzU=,8835,bkfc-86-lane-vs-pague,BKFC 86: Lane vs. Pague,2026-01-17,,,143
RXZlbnROb2RlOjg3ODA=,8780,bkfc-knuckle-mania-6,BKFC: Knuckle Mania 6,2026-02-07,,,144
RXZlbnROb2RlOjg5MTU=,8915,bkfc-fight-night-newcastle,BKFC Fight Night: Newcastle,2026-03-14,,,145
RXZlbnROb2RlOjg5Mzc=,8937,bkfc-87-stewart-vs-gaffie,BKFC 87: Stewart vs. Gaffie,2026-03-20,,,146
RXZlbnROb2RlOjg5MDc=,8907,bkfc-fight-night-mohegan-sun,BKFC Fight Night: Mohegan Sun,2026-03-28,,,147
RXZlbnROb2RlOjkwNTA=,9050,the-road-to-bkfc-gloved-edition,The Road to BKFC: Gloved Edition,2026-04-05,,,148
RXZlbnROb2RlOjg5NTA=,8950,bkfc-fight-club-1-cancelled,BKFC Fight Club 1 (Cancelled),2026-04-07,,,149
RXZlbnROb2RlOjg5MTQ=,8914,bkfc-fight-night-hawaii,BKFC Fight Night: Hawaii,2026-04-11,,,150
RXZlbnROb2RlOjg5ODE=,8981,bkfc-88-camozzi-vs-rodriguez,BKFC 88: Camozzi vs. Rodriguez,2026-04-17,,,151
RXZlbnROb2RlOjg5ODA=,8980,bkfc-fight-night-australia,BKFC Fight Night: Australia,2026-04-18,,,152
RXZlbnROb2RlOjg5Nzk=,8979,bkfc-fight-night-clearwater,BKFC Fight Night: Clearwater,2026-04-24,,,153
