bout_id,offer_type_id,is_not,average_odds,fighter_pk,description,not_description
RmlnaHROb2RlOjM2OTg0,STRAIGHT,0,-196,38598.0,,
RmlnaHROb2RlOjM2OTg0,STRAIGHT,0,151,41384.0,,
RmlnaHROb2RlOjYzMjU1,STRAIGHT,0,-231,2096.0,,
RmlnaHROb2RlOjYzMjU1,STRAIGHT,0,187,36994.0,,
RmlnaHROb2RlOjYzMjU0,STRAIGHT,0,140,35200.0,,
RmlnaHROb2RlOjYzMjU0,STRAIGHT,0,-176,41551.0,,
RmlnaHROb2RlOjM2ODcw,STRAIGHT,0,-276,19819.0,,
RmlnaHROb2RlOjM2ODcw,STRAIGHT,0,213,677.0,,
RmlnaHROb2RlOjM3MDI5,STRAIGHT,0,-730,9494.0,,
RmlnaHROb2RlOjM3MDI5,STRAIGHT,0,450,10072.0,,
RmlnaHROb2RlOjM2OTg1,STRAIGHT,0,311,41385.0,,
RmlnaHROb2RlOjM2OTg1,STRAIGHT,0,-415,3467.0,,
RmlnaHROb2RlOjM2ODUx,STRAIGHT,0,-140,1734.0,,
RmlnaHROb2RlOjM2ODUx,STRAIGHT,0,111,7374.0,,
RmlnaHROb2RlOjM3MDMw,STRAIGHT,0,-135,2062.0,,
RmlnaHROb2RlOjM3MDMw,STRAIGHT,0,122,6931.0,,
RmlnaHROb2RlOjM2NjQz,STRAIGHT,0,-310,582.0,,
RmlnaHROb2RlOjM2NjQz,STRAIGHT,0,250,2148.0,,
RmlnaHROb2RlOjM2OTk1,STRAIGHT,0,164,613.0,,
RmlnaHROb2RlOjM2OTk1,STRAIGHT,0,-214,209.0,,
RmlnaHROb2RlOjM2NzQ3,STRAIGHT,0,210,1965.0,,
RmlnaHROb2RlOjM2NzQ3,STRAIGHT,0,-292,173.0,,
RmlnaHROb2RlOjYzMzgw,STRAIGHT,0,-120,35590.0,,
RmlnaHROb2RlOjYzMzgw,STRAIGHT,0,108,42238.0,,
RmlnaHROb2RlOjYzMzc2,STRAIGHT,0,235,42229.0,,
RmlnaHROb2RlOjYzMzc2,STRAIGHT,0,-297,16294.0,,
RmlnaHROb2RlOjYzMzgx,STRAIGHT,0,-119,42236.0,,
RmlnaHROb2RlOjYzMzgx,STRAIGHT,0,-114,42237.0,,
RmlnaHROb2RlOjYzMzgy,STRAIGHT,0,-323,42230.0,,
RmlnaHROb2RlOjYzMzgy,STRAIGHT,0,256,42231.0,,
RmlnaHROb2RlOjYzMzc3,STRAIGHT,0,-225,16223.0,,
RmlnaHROb2RlOjYzMzc3,STRAIGHT,0,163,42232.0,,
RmlnaHROb2RlOjM3NTMw,STRAIGHT,0,-293,826.0,,
RmlnaHROb2RlOjM3NTMw,STRAIGHT,0,220,677.0,,
RmlnaHROb2RlOjYzMzc5,STRAIGHT,0,120,41868.0,,
