slug,name,wins,losses,draws,division,reach,height,nickname,dob,nationality,social_media
bryce-hall,BRYCE HALL,1,0,0,Welterweight,,1.77,,08/1999,United States of America,https://www.instagram.com/brycehall/
bryce-henry,BRYCE HENRY,6,0,0,Welterweight,80in / 203cm,75,BABA YAGA,01/2001,United States of America,https://www.instagram.com/theofficialbrycehenry_/
brynnen-mciver,Brynnen McIver,0,0,0,Welterweight,,,,02/1985,United States of America,https://www.facebook.com/brynnen.mciver
buakaw,Buakaw,2,0,0,Lightweight,,1.72,The White Lotus,05/1982,Thailand,https://www.instagram.com/buakaw1/?igshid=YmMyMTA2M2Y%3D; https://www.facebook.com/BanchamekGym
bubba-mcdaniel,Bubba McDaniel,0,1,0,Cruiserweight,75in / 191cm,1.91,The Menace,05/1983,United States of America,https://www.instagram.com/bubbathemenace/; https://www.facebook.com/bubba.mcdaniel.3
bubu,BUBU,0,4,0,Heavyweight,63in / 160cm,1.778,Piotr 'BUBU' Cwik,04/1984,Germany,https://www.instagram.com/piotr.bubu.cwik/?hl=en
byron-woodger,Byron Woodger,0,0,0,Heavyweight,,,,,United Kingdom,
caeden-scott,CAEDEN SCOTT,2,0,0,Welterweight,71in / 180cm,1.8288,PRETTIEST,08/2005,Canada,https://www.instagram.com/CAEDENSCOTTT
caleb-gall,CALEB GALL,0,0,0,Featherweight,,,,,,
caleb-joseph-avila,CALEB JOSEPH AVILA,1,2,0,Heavyweight,73in / 185.5cm,1.8288,PANDA,05/2001,United States of America,https://www.instagram.com/PANDA_GOD_MMA
calie-cutler,Calie Cutler,0,1,0,,62.5in / 158.75cm,1.65,The Honey Badger,03/1990,United States of America,https://www.facebook.com/calie.cutler
calista-silgado,Calista Silgado,0,1,0,Women Flyweight,61.5 in/156 cm,66,Cali,04/1988,Columbia,
cameron-davis,CAMERON DAVIS,0,0,0,Heavyweight,,,,,,
cameron-delano,CAMERON DELANO,1,0,0,Middleweight,68in / 173cm,1.7526,THE BULL,10/1997,United States of America,https://www.instagram.com/camerondelano_official/
cameron-hardy,CAMERON HARDY,1,0,0,Bantamweight,66in / 168cm,1.7272,PARTY,05/1995,United Kingdom,https://www.instagram.com/cameronrkh/
cameron-vancamp,CAMERON VANCAMP,3,2,0,Welterweight,74in / 188cm,1.8796,JUMPMAN,04/1993,United States of America,https://www.instagram.com/vancamp.cameron/
carina-damm,CARINA DAMM,0,1,0,Women Flyweight,64in / 163cm,1.5748,BARBIE,02/1979,Brazil,https://www.instagram.com/carinadamm/
carlos-giner,CARLOS GINER,1,0,0,Lightweight,69in / 175cm,1.7018,ZURDO,04/1998,Mexico,https://www.instagram.com/ZURDOGINER01
carlos-trinidad,CARLOS TRINIDAD,7,1,0,Middleweight,78in / 198cm,72,SNAKE,03/1996,United States of America,https://www.instagram.com/trinidadsnake/tagged/?hl=en
carlos-yanez,CARLOS YANEZ,0,0,0,Featherweight,,,,,,
cary-caprio,CARY CAPRIO,2,3,0,Men Flyweight,68in / 173cm,1.7018,CAP VS THE WORLD,04/1994,United States of America,https://www.instagram.com/cap_vs_the_world/
casey-moses,CASEY MOSES,1,1,0,Welterweight,70in / 178cm,1.8034,THE LAWLESS,11/1989,United States of America,https://www.instagram.com/CASEYMOSES1
cassie-robb,CASSIE ROBB,0,4,0,Strawweight,61in / 155cm,64,THE JOKER,08/1990,United States of America,https://www.instagram.com/thecassierobb/
cecilia-ulloa-flores,Cecilia Ulloa Flores,2,2,0,Men Flyweight,,,,,Mexico,
cedric-severac,Cédric Séverac,0,1,0,Cruiserweight,,,,,France,
cesar-perez,Cesar Perez,0,0,0,Welterweight,,,,,,
cesar-vazquez,CESAR VAZQUEZ,1,0,0,Bantamweight,72in / 183cm,1.7018,,05/1996,Mexico,https://www.instagram.com/cesarvazquez_1/
chachi-versace,CHACHI VERSACE,0,2,0,Bantamweight,67in / 170cm,66,,02/1988,United States of America,https://www.instagram.com/chachi___versace/
chad-lucanas,CHAD LUCANAS,3,0,0,Lightweight,69in / 175cm,1.7018,SUPER CHAD,09/1995,Canada,https://www.instagram.com/ssuperchad/
chad-mendes,Chad Mendes,1,1,0,Lightweight,66in / 167.64cm,66,Money,05/1985,United States of America,https://www.instagram.com/chadmendes/; https://www.facebook.com/people/chad-mendes/6419447
chaloeporn-sawatsuk,Chaloeporn Sawatsuk,1,1,0,Light Heavyweight,"71""",1.6764,,,Thailand,
chancey-wilson,CHANCEY WILSON,3,6,0,Men Flyweight,66in / 168cm,62,SUPAFLYY,07/1991,United States of America,https://www.instagram.com/SUPAFLYYBKFC
chango-romero,CHANGO ROMERO,0,0,0,Lightweight,,,,,,
channarong-injampa,Channarong Injampa,0,1,0,Welterweight,,,,,Switzerland,
chanwut-kaewnamyen,Chanwut Kaewnamyen,0,0,0,Middleweight,,,,,Thailand,
charisa-sigala,Charisa Sigala,1,5,0,Strawweight,,64,,03/1984,United States of America,
charlene-gellner,CHARLENE GELLNER,1,0,0,Women Flyweight,61in / 156cm,1.5748,PITBULL,08/1985,United States of America,https://www.facebook.com/princessthapittbull/
charles-wasserman,CHARLES WASSERMAN,2,2,0,Light Heavyweight,75 in / 191cm,1.8796,BAD NEWS,03/1987,South Africa,https://www.instagram.com/_chazzyboi_/
charlie-dubray,Charlie DuBray,0,1,0,Lightweight,70.0in / 178cm,66,,08/1988,United States of America,
charlie-milner,Charlie Milner,2,3,0,Heavyweight,,,,,United Kingdom,
chasa-symonds,Chasa Symonds,1,3,0,Welterweight,,1.68,Croydon Bomber,,United Kingdom,
chase-gormley,CHASE GORMLEY,1,1,0,Heavyweight,78in / 198cm,1.905,,08/1983,United States of America,https://www.instagram.com/gormleymma/
chase-sherman,Chase Sherman,1,1,0,Heavyweight,78,,The Vanilla Gorilla,11/1998,,
cheng-leang,CHENG LEANG,0,1,0,Lightweight,73in / 185cm,1.7526,LAST LUCK,,Cambodia,https://www.instagram.com/FLIPSIDETEAM
chevvy-bridges,Chevvy Bridges,1,3,0,Featherweight,,68,Wild Man,05/1992,United States of America,https://www.instagram.com/wildman_bareknuckle/
chris-big-boy-jensen,Chris 'Big Boy' Jensen,2,1,0,Heavyweight,74 in/188 cm,74,Big Boy,12/1980,United States of America,
chris-boffil,Chris Boffil,1,0,0,Cruiserweight,,1.78,,08/1985,United States of America,https://www.instagram.com/chrisboffil/
chris-camozzi,CHRIS CAMOZZI,4,3,0,Cruiserweight,78in / 198cm,75,,11/1986,United States of America,https://www.instagram.com/chriscamozzimma/; https://www.facebook.com/CamozziMMA
chris-cisneros,CHRIS CISNEROS,1,1,0,Light Heavyweight,70in / 78cm,1.778,THE MAVERICK,12/1979,United States of America,
chris-cornelius,Chris Cornelius,0,3,0,Lightweight,,1.75,,01/1983,United States of America,
chris-drummond,CHRIS DRUMMOND,0,1,0,Middleweight,71n / 180cm,1.778,THE ALBATROSS,12/1993,Australia,https://www.instagram.com/CHRISDRUMMONDMMA
chris-fishgold,Chris Fishgold,1,2,0,Middleweight,68 in / 173cm,1.73,,06/1992,United Kingdom,https://www.instagram.com/chrisfishgold/; https://www.facebook.com/chris.fishgold
chris-garcia,CHRIS GARCIA,6,1,0,Bantamweight,71in / 180cm,68,DYNAMITE,08/1999,United States of America,https://www.instagram.com/_teamgarcia_/
chris-johnson,Chris Johnson,0,2,0,Bantamweight,,1.7,The Jungle,05/1994,United States of America,
chris-leben,Chris Leben,3,1,0,Cruiserweight,70.5,71,The Crippler,07/1980,,
chris-lytle,Chris Lytle,3,0,0,Middleweight,68,1.81,Lights out,08/1974,,
chris-sarro,CHRIS SARRO,2,7,0,Heavyweight,72in / 183cm,73,,08/1988,United States of America,https://www.instagram.com/chrisgoldengloves/
christian-fayne,PRINCE NYSEAM,1,0,0,Middleweight,71in / 180cm,1.8288,2RAWKUTT,04/1997,United States of America,https://www.instagram.com/2RAWKUTT
christian-torres,CHRISTIAN TORRES,2,6,0,Middleweight,72in / 183cm,67,THE TERMINATOR,01/1987,United States of America,https://www.instagram.com/CMurda8484/
christine-ferea,CHRISTINE FEREA,11,1,0,Women Flyweight,61in / 156cm,65,MISFIT,09/1982,United States of America,https://www.instagram.com/christineferea/
christine-vicens,CHRISTINE VICENS,5,1,0,Women Flyweight,66in / 168cm,66,LA ABUSADORA,06/1985,United States of America,https://www.instagram.com/ChristyFitmma/
christopher-hamlett,CHRISTOPHER HAMLETT,0,1,0,Light Heavyweight,73in / 185cm,1.8796,THE CRUSADER,10/1995,United States of America,https://www.instagram.com/chris_hamlett1
christopher-inocencio,CHRISTOPHER INOCENCIO,1,0,0,Lightweight,70in / 178cm,1.778,,02/1991,United States of America,
cj-dean,CJ DEAN,0,0,0,Featherweight,,,,,,
claudia-zamora,CLAUDIA ZAMORA,0,0,0,Women Bantamweight,70in / 178cm,1.6256,THE PHOENIX,04/1986,United States of America,https://www.instagram.com/claud_strikeforce/
clay-burns,Clay Burns,0,1,0,Featherweight,66,1.68,3rd DEGREE,03/1987,United States of America,
cliff-wright-jr,Cliff Wright Jr.,0,1,0,Lightweight,71in / 180cm,1.8,The Goblin,01/1979,United States of America,
codie-shuffield,Codie Shuffield,1,0,0,Cruiserweight,,,,10/1988,United States of America,
cody-beck,CODY BECK,0,0,0,Heavyweight,,,,,,
cody-beierle,CODY BEIERLE,0,3,0,Light Heavyweight,74in / 188cm,1.88,BEAR KILLER,07/1991,United States of America,https://www.instagram.com/__BEARKILLER__
cody-jenkins,Cody Jenkins,1,5,0,Featherweight,,70,Jenks,01/1993,United States of America,https://www.instagram.com/codyjenkinsmma/
cody-locked-amp-loaded-land,Cody Land,1,2,0,Welterweight,,67,Locked & Loaded,,United States of America,
cody-mitchell,Cody Mitchell,0,0,0,Featherweight,,1.68,,09/1987,United States of America,
cody-russell,CODY RUSSELL,2,0,0,Middleweight,70in / 178cm,69,,09/1995,United States of America,https://www.instagram.com/cody__fights/
cody-schieve,CODY SCHIEVE,0,2,0,Featherweight,,1.8,LIGHTNING,04/1995,United States of America,https://www.instagram.com/codyxavierschieve/
cody-vidal,CODY VIDAL,3,1,0,Light Heavyweight,74in / 188cm,70,,09/1988,United States of America,https://www.instagram.com/VIDAL.VISIONS
cole-ferrell,COLE FERRELL,1,1,0,Featherweight,68in / 173cm,69,,11/1992,United States of America,https://www.instagram.com/coleferrellmma/
colin-reeser,COLIN REESER,0,1,0,Lightweight,69in / 175cm,66,CPAT,12/2004,United States of America,
conan-barbaru,CONAN BARBARU,2,3,0,Light Heavyweight,79in / 200cm,1.8034,THE TERROR OF TRANSYLVANIA,10/1988,Romania,https://www.instagram.com/barbaru88
conner-warden,CONNER WARDEN,0,1,0,Middleweight,69in / 175cm,1.8034,,09/1998,United Kingdom,https://www.instagram.com/Connerwarden_
connor-mckenna,CONNOR McKENNA,0,3,0,Heavyweight,71in / 180cm,1.78,THE IRISH WARRIOR,06/1992,United States of America,https://www.instagram.com/CONNORMCKENNABKFC
connor-tierney,CONNOR TIERNEY,9,2,0,Welterweight,73in / 185.42cm,74,BRUM TOWN BOMBER,11/1994,United Kingdom,https://www.instagram.com/connortierneybtb/
conor-bracken,CONOR BRACKEN,0,1,0,Cruiserweight,76in / 193cm,1.8542,KENNY POWER,12/1992,United States of America,https://www.instagram.com/BICKENBRACK
conor-cooke,CONOR COOKE,6,1,0,Light Heavyweight,76in / 193cm,1.905,DA CROOK,03/1987,United Kingdom,https://www.instagram.com/conorcooke/
cooper-clarke,COOPER CLARKE,0,1,0,Lightweight,73in / 185cm,1.7526,DOCOCK,07/2005,Australia,https://www.instagram.com/cooperscd1
corey-harrison,Corey Harrison,1,4,0,Cruiserweight,,,,,United Kingdom,
corey-mcintosh,COREY McINTOSH,0,1,0,Cruiserweight,70in / 178cm,1.778,KING SMILEZ,12/1984,United States of America,https://www.instagram.com/KING_SMILEZ_757
corey-roberts,COREY ROBERTS,1,2,0,Featherweight,68in / 173cm,1.7,PITBULL,01/1988,United States of America,https://www.instagram.com/COREYROBERTSSR
cory-hardy,CORY HARDY,0,1,0,Middleweight,66in / 167cm,1.8288,,12/1993,United Kingdom,https://www.instagram.com/Cory_hardy_1
cory-madden,Cory Madden,0,1,0,Welterweight,,1.73,,,United States of America,
cory-willis,COREY WILLIS,3,1,0,Heavyweight,72in / 183cm,73,WHATCHU TALKIN' ABOUT,06/1986,United States of America,https://www.instagram.com/corey_whatutalkinbout_willis/
cristina-crist,CRISTINA CRIST,1,2,0,Strawweight,61in / 155cm,1.5748,CRAZY,04/1990,United States of America,https://www.instagram.com/crazy_cristina_crist/
cruiser-keith-richardson,KEITH RICHARDSON,2,2,0,Cruiserweight,73in / 185cm,1.8288,THE OFFICER,03/1983,United States of America,https://www.instagram.com/onetough_boxer/
crystal-lawson,CRYSTAL LAWSON,0,0,0,Strawweight,,1.5748,BEAR,01/1989,United States of America,https://www.instagram.com/p/Cw5k_zZJtcp/; https://www.facebook.com/thaifightgirl
crystal-pittman,CRYSTAL PITTMAN,3,4,0,Women Bantamweight,66in / 168cm,65,THE RUGGED BEAUTY,08/1986,United States of America,https://www.instagram.com/the_rugged_beauty/
crystal-van-wyk,CRYSTAL VAN WYK,2,3,0,Strawweight,63in / 160cm,1.5748,THE LOVELY,05/1987,South Africa,https://www.instagram.com/crystal_van_wyk/; https://www.facebook.com/crystal.h.vanwyk
dagoberto-aguero,DAGOBERTO AGUERO,1,0,0,Men Flyweight,"68.5""",1.75,,02/1993,United States of America,https://www.instagram.com/dagobertoaguero_boxing/
daishaun-middleton,Daishaun Middleton,0,1,0,Welterweight,,69,Raging Demon,11/1990,United States of America,https://www.instagram.com/daimiddleton/
dakota-cochrane,DAKOTA COCHRANE,7,3,0,Middleweight,71in / 180cm,67,,05/1986,United States of America,https://www.instagram.com/dakotacochranemma/
dakota-highpine,DAKOTA HIGHPINE,1,4,0,Featherweight,71in / 180cm,70,MONTANA DAK,01/1997,United States of America,https://www.instagram.com/dhighpine/
dale-sopi,Dale Sopi,1,2,0,Heavyweight,74,1.8,,01/1991,,
dallas-davison,DALLAS DAVISON,5,4,0,Middleweight,71in / 180cm,72,THE DENTIST,06/2000,United States of America,https://www.instagram.com/dallythedentist/
dalton-shtybel,DALTON SHTYBEL,0,1,0,Lightweight,73.5in / 186cm,1.7526,,08/1993,Canada,https://www.instagram.com/daltonshtybel/
dalvin-blair,DALVIN BLAIR,2,1,0,Welterweight,71in / 180cm,1.8034,HIPPY DISCIPLE,11/1990,United States of America,https://www.instagram.com/hippiedisciple
dameko-dabon-labon,DAMEKO DABON LABON,2,1,0,Bantamweight,72in / 183cm,69,LOTTO,01/1995,United States of America,https://www.instagram.com/damekolabon/
damian-gorski,Damian Gorski,1,6,0,Light Heavyweight,"70""",1.81,Goral,09/1991,Poland,
damien-black,DAMIEN BLACK,0,0,0,Heavyweight,,,,,,
damjan-savanovic,DAMJAN SAVANOVIC,0,1,0,Heavyweight,,,,02/1996,,https://www.instagram.com/savanovic.96/
damon-the-demon-bell,Damon 'The Demon' Bell,1,1,0,Light Heavyweight,69.0 in / 175cm,69,The Demon,08/1991,United States of America,
dan-chapman,DAN CHAPMAN,6,1,0,Featherweight,66in / 168cm,1.7018,INDIAN SPICE,05/1990,United Kingdom,https://www.instagram.com/dan_chapman01/
dan-godoy,DAN GODOY,1,3,0,Lightweight,71in / 180cm,1.7526,MAXBET,08/1996,Canada,https://www.instagram.com/maxbet_bkfc
dan-mohammed,DAN MOHAMMED,0,1,0,Bantamweight,61in / 155cm,1.7018,,05/1997,United Kingdom,https://www.instagram.com/danmohammedbkb
dan-spohn,Dan Spohn,0,1,0,Cruiserweight,"77.0""",1.94,Dragon,10/1984,United States of America,https://www.instagram.com/dragonspohn/; https://www.facebook.com/dragonspohn
dan-vinni,DAN VINNI,1,0,0,Light Heavyweight,,,THE KING OF MEKONG,,United Kingdom,https://www.instagram.com/danvinni_mma/
danasabe-mohammed,DANASABE MOHAMMED,1,2,0,Middleweight,76in / 193cm,69,PAPA MIDNIGHT,10/1990,United States of America,https://www.instagram.com/papamidnight170/
daniel-alvarez,DANIEL ALVAREZ,2,2,0,Featherweight,67.5in / 171cm,66,MACHETE,11/1989,United States of America,https://www.instagram.com/_d90sguy_/
daniel-bunyan,Daniel Bunyan,0,1,0,Light Heavyweight,,,,,United States of America,https://www.instagram.com/danbunyanmma/
daniel-cooper,DANIEL COOPER,2,0,0,Light Heavyweight,72in / 183cm,73,SUPER,05/1999,United States of America,https://www.instagram.com/supercoop189
daniel-curtin,DANIEL CURTIN,0,1,0,Heavyweight,73in / 185cm,1.9304,BIG,11/1990,United Kingdom,
daniel-dorrer,Daniel Dörrer,1,0,0,Cruiserweight,"75""",1.8796,,,Germany,
daniel-gardner,DANIEL GARDNER,0,1,0,Light Heavyweight,70in / 178cm,67,DJ,05/1984,United States of America,https://www.instagram.com/dangardner/
daniel-gary,Daniel Gary,0,4,0,Lightweight,69.0 in / 175cm,65,Black Mamba,11/1993,United States of America,
daniel-pettit,DANIEL PETTIT,1,3,0,Featherweight,71in / 180cm,72,TOWER DOG,10/1989,United States of America,https://www.instagram.com/towerdogdan/
daniel-robson,Daniel Robson,0,2,0,Heavyweight,,,,,United Kingdom,
daniel-straus,DANIEL STRAUS,0,2,0,Featherweight,67in / 170cm,1.73,,07/1984,United States of America,https://www.instagram.com/danielstraus/; https://www.facebook.com/danielstrausfan
daniel-vansickle,Daniel Vansickle,0,1,0,Lightweight,,1.7,,,United States of America,
daniela-graf,DANIELA GRAF,0,1,0,Women Flyweight,,1.6,,09/1982,Germany,https://www.instagram.com/danielagrafofficial/
danny-christie,DANNY CHRISTIE,5,3,0,Welterweight,73in / 185cm,1.8034,THE BASTARD,01/1985,United Kingdom,https://www.instagram.com/danny_tb_christie/
danny-hilton,Danny Hilton,1,0,0,Lightweight,,,,,United States of America,
danny-leadbetter,DANNY LEADBETTER,0,3,0,Light Heavyweight,70n / 78cm,69,1.7272,10/1991,United Kingdom,https://www.instagram.com/danny_leadbetter_
danny-mcintosh,DANNY McINTOSH,1,1,0,Cruiserweight,72in / 183cm,1.8796,THE BIG MAC,04/1980,United Kingdom,
danny-mitchell,DANNY MITCHELL,2,0,0,Light Heavyweight,,1.8796,THE CHEESECAKE ASSASSIN,08/1986,United Kingdom,https://www.facebook.com/dannymitchellmma
danny-mitchell-us,DANNY MITCHELL (US),0,1,0,Cruiserweight,78in / 198cm,1.9304,D-BOY,01/1981,United States of America,https://www.instagram.com/d.e.mitchell209/
danny-moir,DANNY MOIR,3,1,0,Light Heavyweight,78in / 198cm,1.905,THE DESTROYER,10/1992,United Kingdom,https://www.instagram.com/moirdanny/
danny-oconnor,Danny O'Connor,0,0,0,Lightweight,67.5in / 171cm,1.73,,,United States of America,
danny-wall,DANNY WALL,0,1,0,Middleweight,,1.8034,WAR,02/1989,United Kingdom,https://www.instagram.com/dannywallofficial
darcy-braine,DARCY BRAINE,1,0,0,Heavyweight,79in / 201cm,2.0066,,03/1995,Australia,https://www.instagram.com/darcy.braine
darren-godfrey,Darren Godfrey,0,5,0,Light Heavyweight,,,,,United Kingdom,
darren-hendry,DARREN HENDRY,5,1,0,Cruiserweight,,73,THE DAZZLER,01/1990,United Kingdom,
darren-till,DARREN TILL,0,0,0,Light Heavyweight,,,,,United Kingdom,
darren-whitney,DARREN WHITNEY,1,1,0,Welterweight,77in / 196cm,1.8288,D DAY,06/1990,United States of America,https://www.instagram.com/DDAY6MMA
darrian-leu-pierre,DARRIAN LEU-PIERRE,0,0,0,Lightweight,78.5in / 199cm,1.9304,EL SICARIO,03/2001,United States of America,https://www.instagram.com/dtlp09
darrick-the-buck-gates,DARRICK GATES,1,6,0,Featherweight,73in / 185cm,69,THE BUCK,04/1989,United States of America,https://www.instagram.com/bkfcbuck/
darwin-bonilla,Darwin Bonilla,0,1,0,Men Flyweight,,65,,,,
dat-nguyen,DAT NGUYEN,4,1,0,Bantamweight,,67,DAT BE DAT,10/1982,Viet Nam,https://www.instagram.com/datbedat/; https://www.facebook.com/datbedat/
davian-green,Davian Green,0,2,0,Cruiserweight,80in/203.2cm,74,,01/1993,United States of America,https://www.facebook.com/davian.green.5
david-bosnick,David Bosnick,1,0,0,Featherweight,71.5in / 182cm,1.78,The Boss,09/1990,United States of America,https://www.instagram.com/david_bosnick/
david-burke,DAVID BURKE,1,1,0,Light Heavyweight,74in / 188cm,1.8288,,10/1995,United States of America,https://www.instagram.com/davidburke1019
david-diaz,DAVID DIAZ,3,1,0,Bantamweight,68in / 172.72cm,65,EL PERRO NECIO,06/1989,United States of America,https://www.instagram.com/el.necio.diaz/?hl=en
david-lopez,David Lopez,0,0,0,Middleweight,,,,,,
david-loureiro,David Loureiro,0,1,0,Bantamweight,,1.75,Immortal Goat,11/1990,United States of America,
david-mora,DAVID MORA,1,1,0,Welterweight,72in / 183cm,1.8288,,03/1995,Spain,https://www.instagram.com/davidmora155/
david-morgan,David Morgan,0,1,0,,,,,03/1988,United States of America,
david-mundell,DAVID MUNDELL,10,2,0,Middleweight,75 in / 190.5 cm,69,REDNECK,08/1991,United States of America,https://www.instagram.com/redneckmundell/; https://www.facebook.com/david.mundell.1
david-oscar,DAVID OSCAR,6,2,0,Heavyweight,68in / 173cm,1.8542,DAVID,03/1990,Poland,https://www.instagram.com/dawidoskar15/
david-round,DAVID ROUND,3,4,0,Light Heavyweight,72in / 183cm,71,ONE MORE,04/1987,United Kingdom,https://www.instagram.com/david1moreroundbkfc/
david-sanchez,DAVID SANCHEZ,2,1,0,Light Heavyweight,73.5in / 187cm,1.8288,THA SANDMAN,01/1983,United States of America,
david-simpson,DAVID SIMPSON,3,5,0,Light Heavyweight,71in / 180cm,71,,11/1989,United States of America,https://www.instagram.com/DAVID_SIMPSONMMA
david-the-caveman-rickels,David 'The Caveman' Rickels,2,1,0,Middleweight,72in/183cm,71,The Caveman,01/1989,United States of America,
dawid-chylinski,DAWID CHYLINSKI,4,3,0,Light Heavyweight,73in / 185cm,1.7272,MACHO,05/1998,United Kingdom,https://www.instagram.com/Miixbix
dawid-zoltaszek,Dawid Zoltaszek,6,2,0,Heavyweight,81.1in / 206cm,1.93,Maximus,01/1978,Poland,
dean-hunt,Dean Hunt,0,1,0,Light Heavyweight,,,,,,
deborah-melhorn,DEBORAH MELHORN,1,1,0,Women Featherweight,65in / 165cm,1.6764,,03/1994,Germany,https://www.instagram.com/DEBEE.CRUSH
dec-spelman,DEC SPELMAN,3,0,0,Cruiserweight,77in / 195cm,1.8288,Kid Nytro,03/1992,United Kingdom,
delaney-bailey,Delaney Bailey,1,1,0,Strawweight,,61,Lil Scrappy,11/1992,United States of America,https://www.instagram.com/lilscrappy_bailey/; https://www.facebook.com/delaney.owen.5
demarcus-chop-chop-corley,Demarcus 'Chop Chop' Corley,0,1,0,Bantamweight,70 in / 177.8cm,67,Chop Chop,06/1974,United States of America,
denis-gondzala-610p7,DENIS GONDZALA,0,1,0,Welterweight,,1.88,,05/2002,Slovakia,https://www.instagram.com/gondzala70kg/
dennis-labruzza,Dennis LaBruzza,1,1,0,Light Heavyweight,,,,,United States of America,
derek-campos,DEREK CAMPOS,0,0,0,Lightweight,,,THE STALLION,,United States of America,https://www.instagram.com/dc_stallionmma/?ref=Sneakershouts
derek-greene,Derek Greene,0,1,0,Welterweight,,66,,,,
derek-perez,DEREK PEREZ,4,5,0,Bantamweight,70 in / 178cm,69,RAGE,03/1992,United States of America,
deron-carlis,DERON CARLIS,0,1,0,Lightweight,65in / 165cm,65,PHARAOH,10/1986,United States of America,https://www.instagram.com/pharaohcarlis/
deron-winn,DERON WINN,1,0,0,Cruiserweight,,1.6764,,06/1989,United States of America,https://www.instagram.com/deron_winn
derrick-findley,DERRICK FINDLEY,3,4,0,Welterweight,74in / 188cm,66,SUPERMAN,05/1980,United States of America,https://www.instagram.com/DERRICK_SUPERMAN_FINDLEY
desmond-johnson,DESMOND JOHNSON,0,1,0,Featherweight,72in / 183cm,1.8288,,08/1979,Canada,
detrailous-teddy-webster,Detrailous' Teddy Webster,0,0,0,Heavyweight,73in / 185.42cm,1.83,Detrailous,05/1988,United States of America,
devin-gibson,DEVIN GIBSON,2,1,0,Bantamweight,,66,THE CANADIAN ASSASSIN,,Canada,
devon-schwan,DEVON SCHWAN,1,0,0,Cruiserweight,72in / 183cm,1.8796,DAPPER SCRAPPER,01/1983,United States of America,https://www.instagram.com/SAVAGEGENTLEMAN_
devonte-jeffery,DEVONTE JEFFERY,0,2,0,Cruiserweight,"75""",1.8796,MR. UNKNOWN,07/1994,United States of America,https://www.instagram.com/DevonteJ21
dexter-carthon,BOLO CARTHON,0,2,0,Heavyweight,78in / 198cm,1.8034,BOLO,04/1984,United States of America,https://www.instagram.com/1984LOUIS_
dexter-thomas---no-fighter-info,Dexter Thomas,0,0,0,Lightweight,,,,,,
diamond-long,DIAMOND LONG,0,0,0,Women Flyweight,,,IN THE ROUGH,,,https://www.instagram.com/diamond_bkfc/?hl=en
diego-garijo,Diego Garijo,1,1,0,Welterweight,,1.76,El Nino,,,
diego-romo,DIEGO ROMO,0,1,0,Light Heavyweight,73in / 185cm,1.8034,PSYCHOPATH,02/1992,Ecuador,https://www.instagram.com/DIEGO_ROMO92
diego-sanchez,Diego Sanchez,0,1,0,Welterweight,72in / 183cm,1.78,Nightmare,12/1981,United States of America,https://www.instagram.com/diegonightmaresanchezufc/; https://www.facebook.com/profile.php?id=100046761529951
dilan-prasovic,DILAN PRASOVIC,2,0,0,Heavyweight,76in / 193cm,1.9,,12/1995,Montenegro,https://www.instagram.com/dprasovic/
dillon-blaydon,DILLON BLAYDON,1,2,0,Cruiserweight,75in / 191cm,1.8288,,05/1992,United States of America,https://www.instagram.com/DILLON_THE_IRISHTHUG
dillon-cleckler,Dillon Cleckler,3,2,0,Heavyweight,76in / 193.04cm,75,Bad Boy,11/1981,United States of America,https://www.instagram.com/dccleckler/; https://www.facebook.com/dillon.cleckler
dillon-winemiller,Dillon Winemiller,2,2,0,Light Heavyweight,,71,The Dog,12/1992,United States of America,https://www.instagram.com/dillon_winemiller/
dilshat-nurym,DILSHAT NURYM,1,0,0,Featherweight,71in / 180cm,1.778,ASAU BARAK,,Kazakhstan,https://www.instagram.com/NURIM.D
dimitri-angelini,DIMITRI ANGELINI,0,4,0,Lightweight,69.0 in / 175cm,70,THE MODERN GLADIATOR,,Italy,https://www.instagram.com/dimitri_angelini_bkfc/
dionisio-ramirez,DIONISIO RAMIREZ,2,0,0,Welterweight,69in / 175cm,1.7526,NICHO,10/1986,United States of America,
dj-linderman,DJ Linderman,3,2,0,Heavyweight,74.5,1.86,DA PROTEGE,09/1983,United States of America,
dominic-ahnee,Dominic Ahnee,0,1,0,Light Heavyweight,,,,,United States of America,
dominick-carey,DOMINICK CAREY,1,1,0,Men Flyweight,70in / 178cm,1.7526,DOM THE BOMB,10/2000,United States of America,https://www.instagram.com/518domthebomb/
dominico-salas,DOMINICO SALAS,1,0,0,Welterweight,68in / 173cm,66,MAD DOC,05/1988,United States of America,https://www.facebook.com/dominico.salas
dominik-herold,DOMINIK HEROLD,6,1,0,Cruiserweight,73in / 185cm,1.8542,RIDER,03/1999,Czech Republic,https://www.instagram.com/DOM_RIDER_HEROLD
donald-sanchez,DONALD SANCHEZ,5,2,0,Light Heavyweight,70in / 178cm,72,,08/1984,United States of America,https://www.instagram.com/officialdonaldsanchez/
donald-wonch,DONALD WONCH,0,1,0,Heavyweight,,,,,,
donelei-benedetto,Donelei Benedetto,0,1,0,Light Heavyweight,,1.88,Slim Reaper,08/1991,United States of America,https://www.instagram.com/benedettoathletics_/
donnie-tice-jr,DONNIE TICE JR,1,2,0,Heavyweight,69in / 175cm,1.8034,DJ,04/1999,United States of America,https://www.facebook.com/donnieticejr
