slug,name,wins,losses,draws,division,reach,height,nickname,dob,nationality,social_media
ahmet-duman,AHMET DUMAN,0,1,0,Featherweight,,1.71,,05/2001,Turkey,https://www.instagram.com/barlas3.5/
aj-craig,AJ CRAIG,2,3,0,Bantamweight,68in / 173cm,1.6764,A-TRAIN,07/1994,United States of America,https://www.instagram.com/AUZZCRAI
akbar-the-dragon-karimi,Akbar 'The Dragon' Karimi,0,1,0,Heavyweight,,74,The Dragon,10/1984,Iran,
alan-belcher,ALAN BELCHER,4,0,0,Heavyweight,74 in/188 cm,74,,04/1984,United States of America,https://www.instagram.com/alanbelcherofficial/
alan-comby,ALAN COMBY,0,1,0,Welterweight,70in / 178cm,1.8034,AJ,02/1998,United Kingdom,https://www.instagram.com/Aj_comby
alan-stephenson,ALAN STEPHENSON,0,0,0,Light Heavyweight,,,A-TRAIN,06/1988,United States of America,https://www.facebook.com/alan.r.stephenson
alan-the-rebel-arzeno,Alan 'The Rebel' Arzeno,2,3,0,Welterweight,69.0 in / 175cm,70,The Rebel,07/1979,Dominican Republic,
albert-inclan,ALBERT INCLAN,1,4,0,Men Flyweight,65IN / 165CM,63,,01/1996,United States of America,https://www.instagram.com/albert_inclan602/
alberto-blas,ALBERTO BLAS,6,0,0,Bantamweight,70in / 177cm,68,EL INDIO,10/1994,Cuba,https://www.instagram.com/indioencuba/
alec-connelly,ALEC CONNELLY,0,1,0,Lightweight,67in / 171cm,1.7526,,03/1995,United Kingdom,https://www.instagram.com/alecc93/
aleem-whitfield,ALEEM WHITFIELD,0,2,0,Heavyweight,73in / 185cm,1.8796,HAMMER,12/1989,United States of America,https://www.instagram.com/aleemhammer
alejandro-solorzano,Alejandro Solorzano,1,0,0,Heavyweight,,,,,Mexico,
alessio-sakara,ALESSIO SAKARA,2,0,0,Cruiserweight,74in / 188cm,1.8542,LEGIONARIVS,09/1981,Italy,https://www.instagram.com/alessiosakaraofficial
alex-castro,ALEX CASTRO,0,3,0,Featherweight,65in / 165cm,1.651,OG,04/1980,Guam,https://www.instagram.com/ogalexcastro
alex-davis,ALEX DAVIS,1,3,0,Heavyweight,74in / 188cm,1.8542,THE RHINO,10/1994,United States of America,https://www.instagram.com/RHINODAVIS1994
alex-govea,ALEX GOVEA,0,0,0,Heavyweight,,,,,,
alex-simon,ALEX SIMON,0,0,0,,,,,,,
alex-the-terrible,ALEX THE TERRIBLE,1,0,0,,,,,,,
alex-tierney,Alex Tierney,1,0,0,Featherweight,,,,04/1996,United States of America,
alex-tribe,ALEX TRIBE,0,0,0,Welterweight,,,,,,
alexander-gutierrez,ALEXANDER GUTIERREZ,1,1,0,Men Flyweight,66in / 168cm,1.651,PRINCE,09/1993,United States of America,https://www.instagram.com/ALEXANDERPRINCEGUTIERREZMMA; https://www.facebook.com/alexanderprince.gutierrez
alexandra-ballou,ALEXANDRA BALLOU,0,0,0,Women Flyweight,67in / 170cm,1.7018,THE GREAT,01/1992,United States of America,https://www.instagram.com/alexandrathegreatbkfc/
alexandra-delgado-lopez,ALEXANDRA DELGADO-LOPEZ,2,0,0,Strawweight,59in / 150cm,1.5494,PAPA AL,06/1993,Canada,https://www.instagram.com/coffee_fueled_fighter
alexey-oleinik,ALEXEY OLEINIK,0,1,0,Heavyweight,79.5in / 202cm,1.8542,BOA CONSTRICTOR,06/1977,Russia,
alfred-koci,ALFRED KOCI,1,0,0,Middleweight,,1.88,,11/1995,Montenegro,https://www.instagram.com/alfred_selfdiscipline/
alfredo-angulo,ALFREDO ANGULO,1,1,0,Middleweight,70.5in / 179cm,1.778,EL PERRO,08/1982,Mexico,https://www.instagram.com/elperroangulo12/; https://www.facebook.com/alfredoangulo.elperro
allen-wycoco,Allen Wycoco,0,1,0,Middleweight,"70""",1.778,,,Philippines,
alma-garcia,Alma Garcia,0,1,0,Women Flyweight,,,,,,
almat-jumanov,ALMAT JUMANOV,1,0,0,Welterweight,71in / 180cm,1.8288,KAZAKH TITAN,08/1996,Kazakhstan,https://www.instagram.com/QAZAQTITAN
alonzo-martinez,ALONZO MARTINEZ,4,2,0,Middleweight,70in / 178cm,70,THE MEXICAN AMERICAN RHINO,04/1984,United States of America,https://www.instagram.com/ALONZOMARTINEZ155
alvin-davis,ALVIN DAVIS,0,1,0,Light Heavyweight,72in / 183cm,1.8034,,03/1986,United States of America,
alvin-kanehailua,ALVIN KANEHAILUA,0,1,0,Light Heavyweight,,,,,Australia,
amer-abdulnabi,AMER ABDULNABI,0,1,0,Heavyweight,181 cm,1.83,THE MACHETE,01/1986,lebenon,https://www.instagram.com/amerabdulnabiofficial/
andre-kase,Andre Kase,0,1,0,Middleweight,,1.81,The Bull,,United States of America,
andrea-bicchi,ANDREA BICCHI,4,3,0,Cruiserweight,71in / 180cm,1.8034,ITALIAN THUNDER,03/1997,Italy,https://www.instagram.com/ANDREA_BICCHI.BKB
andrei-arlovski,Andrei Arlovski,2,0,0,Heavyweight,77in / 196cm,1.905,THE PITBULL,02/1979,United States of America,https://www.instagram.com/andreiarlovski/
andres-parra,ANDRES PARRA,0,0,0,Bantamweight,,,,,,
andrew-angelcor,ANDREW ANGELCOR,3,1,0,Welterweight,68in / 173cm,66,,05/1990,United States of America,https://www.instagram.com/aangelcor/
andrew-anthony,ANDREW ANTHONY,1,0,0,Heavyweight,,1.8034,,,,
andrew-miller,Andrew Miller,1,0,0,Lightweight,"73""",1.8034,,,United Kingdom,
andrew-potter,Andrew Potter,0,1,0,Cruiserweight,,,,07/1992,United States of America,
andrew-strode,ANDREW STRODE,4,0,0,Men Flyweight,74in / 188cm,1.7272,LEGEND,12/1996,United States of America,https://www.instagram.com/legendstrode/
andrew-yates,ANDREW YATES,3,2,0,Featherweight,73in / 185cm,70,GOLDEN CHILD,03/1989,United States of America,https://www.instagram.com/goldenboymma/; https://www.facebook.com/AndrewYatesTheGoldenBoy/
andru-davis-henry,ANDRU DAVIS-HENRY,0,0,0,Lightweight,,,,,,
andy-nguyen,Andy Nguyen,2,2,0,Women Flyweight,64 in / 163 cm,64,The CrAsian,04/1982,United States of America,https://www.instagram.com/andythecrasian1/; https://www.facebook.com/AndyTheCrasian1/
andy-thornton,Andy Thornton,1,0,0,Cruiserweight,75in / 90cm,1.8034,,09/1987,United Kingdom,https://www.instagram.com/thorny1987
andy-walsh,Andy Walsh,1,0,0,Lightweight,,,,,,
angel-hernandez,ANGEL HERNANDEZ,1,0,0,Lightweight,67in / 170cm,1.7018,OG,04/1985,United States of America,https://www.instagram.com/towingangel/
angel-petkov,ANGEL PETKOV,2,0,0,Lightweight,68in / 173cm,1.75,,08/1991,Bulgaria,https://shorturl.at/hyDUV
angela-danzig,Angela Danzig,0,0,0,Strawweight,,64,Momma,06/1978,,https://www.instagram.com/danzig_mma/; https://www.facebook.com/AngelaDanzigMMA
angelo-colon,ANGELO COLON,0,1,0,Bantamweight,75in / 191cm,1.778,,08/1997,United States of America,https://www.instagram.com/angelocolon_
angelo-trujillo,Angelo Trujillo,0,2,0,Men Flyweight,,1.72,PHENOMENAL FIGHTER,10/1997,United States of America,https://www.instagram.com/phenomenalfighter
anthony-foye,ANTHONY FOYE,2,4,0,Featherweight,77in / 190cm,1.7526,THE HITMAN,10/1991,United States of America,https://www.instagram.com/QUINTAN_135BKFC
anthony-garrett,ANTHONY GARRETT,3,1,0,Heavyweight,84in / 213cm,1.9558,THE WARRIOR OF CHRIST,11/1989,United States of America,https://www.instagram.com/ANTHONYTHEWARRIOROFCHRIST; https://www.facebook.com/anthony.garrett.549
anthony-grubbs,ANTHONY GRUBBS,1,0,0,Lightweight,,1.6764,GOD GIVEN,,,
